order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
41,2024-02-11 01:06:17.000533,2024-02-11,98,2,web,paypal,,6.51,AUD
101,2024-02-11 02:43:17.001313,2024-02-11,25,9,pos,cash,CPN9489,0.00,AUD
161,2024-02-11 04:20:17.002093,2024-02-11,66,6,pos,giftcard,,2.78,AUD
221,2024-02-11 05:57:17.002873,2024-02-11,6,5,web,cash,,0.00,AUD
281,2024-02-11 07:34:17.003653,2024-02-11,70,5,pos,paypal,,6.17,AUD
341,2024-02-11 09:11:17.004433,2024-02-11,77,5,web,paypal,,5.58,AUD
401,2024-02-11 10:48:17.005213,2024-02-11,39,10,web,cash,,9.01,AUD
461,2024-02-11 12:25:17.005993,2024-02-11,159,2,web,cash,,1.58,AUD
521,2024-02-11 14:02:17.006773,2024-02-11,35,1,web,card,,3.40,AUD
581,2024-02-11 15:39:17.007553,2024-02-11,12,3,pos,giftcard,,0.49,AUD
641,2024-02-11 17:16:17.008333,2024-02-11,154,6,pos,cash,,5.16,AUD
701,2024-02-11 18:53:17.009113,2024-02-11,160,8,pos,giftcard,,3.37,AUD
761,2024-02-11 20:30:17.009893,2024-02-11,65,10,web,card,,7.81,AUD
821,2024-02-11 22:07:17.010673,2024-02-11,25,1,pos,paypal,,3.12,AUD
881,2024-02-11 23:44:17.011453,2024-02-11,15,4,web,paypal,,0.00,AUD
941,2024-02-11 01:21:17.012233,2024-02-11,9,1,web,paypal,,3.40,AUD
1001,2024-02-11 02:58:17.013013,2024-02-11,23,5,pos,giftcard,,6.62,AUD
1061,2024-02-11 04:35:17.013793,2024-02-11,148,9,web,card,,3.55,AUD
1121,2024-02-11 06:12:17.014573,2024-02-11,100,9,web,paypal,,4.09,AUD
1181,2024-02-11 07:49:17.015353,2024-02-11,31,2,pos,paypal,,9.65,AUD
1241,2024-02-11 09:26:17.016133,2024-02-11,26,6,pos,cash,,3.03,AUD
1301,2024-02-11 11:03:17.016913,2024-02-11,79,8,pos,cash,,0.29,AUD
1361,2024-02-11 12:40:17.017693,2024-02-11,28,7,web,cash,,5.09,AUD
1421,2024-02-11 14:17:17.018473,2024-02-11,9,6,pos,cash,,2.37,AUD
1481,2024-02-11 15:54:17.019253,2024-02-11,91,6,pos,card,,0.00,AUD
1541,2024-02-11 17:31:17.020033,2024-02-11,63,8,web,giftcard,,0.59,AUD
1601,2024-02-11 19:08:17.020813,2024-02-11,100,1,pos,paypal,,9.81,AUD
1661,2024-02-11 20:45:17.021593,2024-02-11,27,3,pos,card,,3.41,AUD
1721,2024-02-11 22:22:17.022373,2024-02-11,95,9,pos,giftcard,,4.31,AUD
1781,2024-02-11 23:59:17.023153,2024-02-11,151,10,pos,giftcard,,4.33,AUD
1841,2024-02-11 01:36:17.023933,2024-02-11,148,3,web,paypal,,2.37,AUD
1901,2024-02-11 03:13:17.024713,2024-02-11,135,1,pos,giftcard,,6.67,AUD
1961,2024-02-11 04:50:17.025493,2024-02-11,70,1,web,giftcard,,7.22,AUD
2021,2024-02-11 06:27:17.026273,2024-02-11,15,6,pos,giftcard,,8.82,AUD
2081,2024-02-11 08:04:17.027053,2024-02-11,53,6,pos,card,,2.54,AUD
2141,2024-02-11 09:41:17.027833,2024-02-11,42,6,pos,cash,,1.80,AUD
2201,2024-02-11 11:18:17.028613,2024-02-11,65,4,web,giftcard,,4.36,AUD
2261,2024-02-11 12:55:17.029393,2024-02-11,119,4,pos,paypal,,9.34,AUD
2321,2024-02-11 14:32:17.030173,2024-02-11,40,1,pos,giftcard,,2.05,AUD
2381,2024-02-11 16:09:17.030953,2024-02-11,100,3,web,cash,,3.39,AUD
2441,2024-02-11 17:46:17.031733,2024-02-11,101,6,pos,giftcard,,7.39,AUD
2501,2024-02-11 19:23:17.032513,2024-02-11,8,6,pos,card,,4.26,AUD
2561,2024-02-11 21:00:17.033293,2024-02-11,88,5,pos,paypal,,1.91,AUD
2621,2024-02-11 22:37:17.034073,2024-02-11,6,7,pos,giftcard,,3.36,AUD
2681,2024-02-11 00:14:17.034853,2024-02-11,4,10,pos,giftcard,,6.71,AUD
2741,2024-02-11 01:51:17.035633,2024-02-11,53,3,pos,giftcard,,6.92,AUD
2801,2024-02-11 03:28:17.036413,2024-02-11,5,7,web,cash,,7.21,AUD
2861,2024-02-11 05:05:17.037193,2024-02-11,128,8,web,paypal,CPN1399,6.43,AUD
2921,2024-02-11 06:42:17.037973,2024-02-11,63,4,web,paypal,,3.03,AUD
2981,2024-02-11 08:19:17.038753,2024-02-11,108,7,web,giftcard,,1.22,AUD
