sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2024-01-03T00:01:46,1,sensor-3,21.45,63.46,3934
2024-01-04T00:02:39,1,sensor-4,24.59,44.57,3397
2024-01-03T00:12:22,1,sensor-15,14.35,38.78,3953
2024-01-04T00:13:15,1,sensor-16,15.10,35.30,3491
2024-01-03T00:22:58,1,sensor-27,22.44,27.44,3499
2024-01-04T00:23:51,1,sensor-28,17.40,48.55,3510
2024-01-03T00:33:34,1,sensor-39,14.16,47.09,3172
2024-01-04T00:34:27,1,sensor-40,16.69,48.09,3652
2024-01-03T00:44:10,1,sensor-1,14.95,54.02,3504
2024-01-04T00:45:03,1,sensor-2,23.30,54.49,3823
2024-01-03T00:54:46,1,sensor-13,21.26,45.82,3079
2024-01-04T00:55:39,1,sensor-14,17.57,32.25,3885
