store_id,store_code,name,channel,region,state,latitude,longitude,open_dt,close_dt
1,STORE-2X2EZC,Castaneda and Sons 1,pos,VIC,VIC,-26.434108,123.941362,2022-04-23,
2,STORE-7FOV2Y,Roberts Ltd 2,web,VIC,VIC,-30.965603,115.716639,2004-01-29,
3,STORE-GNMBY4,Williamson-Nelson 3,pos,WA,WA,-28.454040,124.124158,2002-06-08,
4,STORE-9E7EOB,"Vasquez, Flores and Hernandez 4",pos,TAS,TAS,-29.398492,127.395159,2016-04-18,
5,STORE-JLZY1U,"Johnson, Compton and Campbell 5",web,VIC,VIC,-27.406800,119.434942,2013-02-04,
6,STORE-U9YMSZ,Espinoza Ltd 6,pos,VIC,VIC,-34.542219,118.283107,2018-05-10,
7,STORE-DXIMYN,Hall and Sons 7,web,WA,WA,-33.792542,132.043887,2008-07-19,
8,STORE-4U9BXF,Snyder LLC 8,web,NT,NT,-34.534996,127.664809,2005-07-11,
9,STORE-445CRI,Collins-Lloyd 9,pos,ACT,ACT,-28.415433,134.123806,2022-05-17,2023-07-18
10,STORE-8BIXOI,Ford-Moody 10,pos,ACT,ACT,-25.756291,130.621630,2007-10-16,
